datetime, rank
29/06/2025 23:01:00,0.79
29/06/2025 23:02:00,1.25
29/06/2025 23:03:00,1.25
29/06/2025 23:04:00,1.25
29/06/2025 23:05:00,1.25
29/06/2025 23:06:00,1.25
29/06/2025 23:07:00,1.25
29/06/2025 23:08:00,1.25
29/06/2025 23:10:00,1.25
29/06/2025 23:11:00,1.25
29/06/2025 23:12:00,1.25
29/06/2025 23:15:00,1.29
29/06/2025 23:16:00,1.29
29/06/2025 23:17:00,1.29
29/06/2025 23:18:00,1.29
29/06/2025 23:19:00,1.29
29/06/2025 23:20:00,1.39
29/06/2025 23:21:00,1.69
29/06/2025 23:22:00,1.74
29/06/2025 23:23:00,1.74
29/06/2025 23:24:00,1.74
29/06/2025 23:25:00,1.74
29/06/2025 23:26:00,1.95
29/06/2025 23:27:00,2.06
29/06/2025 23:28:00,2.27
29/06/2025 23:29:00,2.27
29/06/2025 23:30:00,2.27
29/06/2025 23:31:00,2.27
29/06/2025 23:32:00,2.27
29/06/2025 23:33:00,2.27
29/06/2025 23:34:00,2.27
29/06/2025 23:35:00,2.27
29/06/2025 23:36:00,2.27
29/06/2025 23:37:00,2.27
29/06/2025 23:38:00,2.27
29/06/2025 23:39:00,2.27
29/06/2025 23:40:00,2.27
29/06/2025 23:41:00,2.27
29/06/2025 23:42:00,2.27
29/06/2025 23:43:00,2.27
29/06/2025 23:45:00,2.27
29/06/2025 23:47:00,2.27
29/06/2025 23:48:00,2.27
29/06/2025 23:50:00,2.27
29/06/2025 23:51:00,2.27
29/06/2025 23:52:00,2.27
29/06/2025 23:54:00,2.27
29/06/2025 23:56:00,2.27
29/06/2025 23:57:00,2.27
